id,time,SPEI_01_month
2000_01_01,946684800000,-0.5802980065345764
2000_02_01,949363200000,-1.4702273607254028
2000_03_01,951868800000,0.35332733392715454
2000_04_01,954547200000,-0.7119913101196289
2000_05_01,957139200000,-1.5953818559646606
2000_06_01,959817600000,1.8499259948730469
2000_07_01,962409600000,-0.9457389116287231
2000_08_01,965088000000,-1.3519519567489624
2000_09_01,967766400000,-2.0620570182800293
2000_10_01,970358400000,1.1909691095352173
2000_11_01,973036800000,1.8316320180892944
2000_12_01,975628800000,0.5306655764579773
2001_01_01,978307200000,1.1039714813232422
2001_02_01,980985600000,0.5571778416633606
2001_03_01,983404800000,1.2734910249710083
2001_04_01,986083200000,-0.5098472833633423
2001_05_01,988675200000,0.05898459628224373
2001_06_01,991353600000,-1.2813074588775635
2001_07_01,993945600000,-1.4642988443374634
2001_08_01,996624000000,-0.282047837972641
2001_09_01,999302400000,-0.20317520201206207
2001_10_01,1001894400000,-1.0616190433502197
2001_11_01,1004572800000,0.8990873098373413
2001_12_01,1007164800000,-0.11606869846582413
2002_01_01,1009843200000,-0.08970057219266891
2002_02_01,1012521600000,0.6663035154342651
2002_03_01,1014940800000,0.23875704407691956
2002_04_01,1017619200000,-0.46767473220825195
2002_05_01,1020211200000,-1.099536657333374
2002_06_01,1022889600000,-0.41101500391960144
2002_07_01,1025481600000,0.4178771376609802
2002_08_01,1028160000000,-0.30517932772636414
2002_09_01,1030838400000,-0.40466800332069397
2002_10_01,1033430400000,1.3891717195510864
2002_11_01,1036108800000,0.3113993704319
2002_12_01,1038700800000,1.1082396507263184
2003_01_01,1041379200000,-0.8788832426071167
2003_02_01,1044057600000,1.0469684600830078
2003_03_01,1046476800000,-0.01805192604660988
2003_04_01,1049155200000,-0.8729912638664246
2003_05_01,1051747200000,-0.5526130795478821
2003_06_01,1054425600000,0.2361152023077011
2003_07_01,1057017600000,-0.9418371319770813
2003_08_01,1059696000000,-0.5948692560195923
2003_09_01,1062374400000,-0.27014872431755066
2003_10_01,1064966400000,0.13140025734901428
2003_11_01,1067644800000,0.28607821464538574
2003_12_01,1070236800000,-1.188130497932434
2004_01_01,1072915200000,0.5623648166656494
2004_02_01,1075593600000,1.2528997659683228
2004_03_01,1078099200000,1.00639808177948
2004_04_01,1080777600000,1.6537666320800781
2004_05_01,1083369600000,-0.8166130781173706
2004_06_01,1086048000000,0.2324669510126114
2004_07_01,1088640000000,0.8549790978431702
2004_08_01,1091318400000,0.8969468474388123
2004_09_01,1093996800000,1.4541922807693481
2004_10_01,1096588800000,0.9423903822898865
2004_11_01,1099267200000,2.313664197921753
2004_12_01,1101859200000,-0.07076144218444824
2005_01_01,1104537600000,0.8097624182701111
2005_02_01,1107216000000,1.8007782697677612
2005_03_01,1109635200000,0.7234314680099487
2005_04_01,1112313600000,-0.13255088031291962
2005_05_01,1114905600000,0.7953897714614868
2005_06_01,1117584000000,-0.8712292313575745
2005_07_01,1120176000000,-0.12637190520763397
2005_08_01,1122854400000,1.1966913938522339
2005_09_01,1125532800000,-1.0552150011062622
2005_10_01,1128124800000,1.1279062032699585
2005_11_01,1130803200000,-1.340833306312561
2005_12_01,1133395200000,-0.9338098764419556
2006_01_01,1136073600000,-1.6802821159362793
2006_02_01,1138752000000,-0.7147640585899353
2006_03_01,1141171200000,0.4689760208129883
2006_04_01,1143849600000,-1.1153042316436768
2006_05_01,1146441600000,-1.3578567504882812
2006_06_01,1149120000000,-0.7664835453033447
2006_07_01,1151712000000,-0.4094243049621582
2006_08_01,1154390400000,1.048821210861206
2006_09_01,1157068800000,1.2381823062896729
2006_10_01,1159660800000,0.8479413390159607
2006_11_01,1162339200000,-0.9426085352897644
2006_12_01,1164931200000,0.21464529633522034
2007_01_01,1167609600000,2.0847818851470947
2007_02_01,1170288000000,0.000714163645170629
2007_03_01,1172707200000,0.6781219244003296
2007_04_01,1175385600000,1.0088742971420288
2007_05_01,1177977600000,1.7675999402999878
2007_06_01,1180656000000,0.6087900400161743
2007_07_01,1183248000000,0.4818911552429199
2007_08_01,1185926400000,-0.14101901650428772
2007_09_01,1188604800000,0.5087978839874268
2007_10_01,1191196800000,-1.2535970211029053
2007_11_01,1193875200000,-0.1064089760184288
2007_12_01,1196467200000,0.02471836283802986
2008_01_01,1199145600000,-0.4024127423763275
2008_02_01,1201824000000,-1.1693872213363647
2008_03_01,1204329600000,-0.6240269541740417
2008_04_01,1207008000000,-1.0399012565612793
2008_05_01,1209600000000,-0.7795056104660034
2008_06_01,1212278400000,-0.7230453491210938
2008_07_01,1214870400000,0.5330749154090881
2008_08_01,1217548800000,0.5102797746658325
2008_09_01,1220227200000,0.8874143362045288
2008_10_01,1222819200000,-0.08247160911560059
2008_11_01,1225497600000,-0.8851775527000427
2008_12_01,1228089600000,-1.0061805248260498
2009_01_01,1230768000000,-1.5081408023834229
2009_02_01,1233446400000,-1.2022054195404053
2009_03_01,1235865600000,-0.6483078598976135
2009_04_01,1238544000000,-0.47820279002189636
2009_05_01,1241136000000,-0.10977859050035477
2009_06_01,1243814400000,0.34365132451057434
2009_07_01,1246406400000,1.0792123079299927
2009_08_01,1249084800000,-0.6142942309379578
2009_09_01,1251763200000,0.07064115256071091
2009_10_01,1254355200000,0.34615764021873474
2009_11_01,1257033600000,-0.896669864654541
2009_12_01,1259625600000,1.1717873811721802
2010_01_01,1262304000000,1.2015436887741089
2010_02_01,1264982400000,1.5595221519470215
2010_03_01,1267401600000,-0.20111317932605743
2010_04_01,1270080000000,0.9601137638092041
2010_05_01,1272672000000,-0.6639624238014221
