id,time,SPEI_01_month
2000_01_01,946684800000,1.3594197034835815
2000_02_01,949363200000,0.17660832405090332
2000_03_01,951868800000,0.08857417851686478
2000_04_01,954547200000,-1.1067711114883423
2000_05_01,957139200000,-0.47752147912979126
2000_06_01,959817600000,-0.3940802812576294
2000_07_01,962409600000,1.7552924156188965
2000_08_01,965088000000,1.4122414588928223
2000_09_01,967766400000,-0.4356956481933594
2000_10_01,970358400000,1.5497796535491943
2000_11_01,973036800000,0.3758987486362457
2000_12_01,975628800000,-1.5516642332077026
2001_01_01,978307200000,-0.12476562708616257
2001_02_01,980985600000,-0.3236435055732727
2001_03_01,983404800000,-0.716447114944458
2001_04_01,986083200000,-1.5500893592834473
2001_05_01,988675200000,-0.39195477962493896
2001_06_01,991353600000,0.5650439262390137
2001_07_01,993945600000,1.8739145994186401
2001_08_01,996624000000,-1.4587064981460571
2001_09_01,999302400000,1.0642341375350952
2001_10_01,1001894400000,-0.6157156825065613
2001_11_01,1004572800000,0.4328283369541168
2001_12_01,1007164800000,-1.5260014533996582
2002_01_01,1009843200000,-0.6140625476837158
2002_02_01,1012521600000,0.86954665184021
2002_03_01,1014940800000,-0.7931967377662659
2002_04_01,1017619200000,-0.2853320240974426
2002_05_01,1020211200000,0.4457092881202698
2002_06_01,1022889600000,-0.5784825086593628
2002_07_01,1025481600000,0.9850485324859619
2002_08_01,1028160000000,1.3153789043426514
2002_09_01,1030838400000,-2.287795066833496
2002_10_01,1033430400000,-0.4397399127483368
2002_11_01,1036108800000,-1.054992437362671
2002_12_01,1038700800000,0.8917359113693237
2003_01_01,1041379200000,-1.4836571216583252
2003_02_01,1044057600000,-0.7304127216339111
2003_03_01,1046476800000,1.064368486404419
2003_04_01,1049155200000,-1.8526990413665771
2003_05_01,1051747200000,0.9711591005325317
2003_06_01,1054425600000,1.319493293762207
2003_07_01,1057017600000,-2.1294705867767334
2003_08_01,1059696000000,1.423411250114441
2003_09_01,1062374400000,2.4619357585906982
2003_10_01,1064966400000,-1.1329677104949951
2003_11_01,1067644800000,-0.5854660868644714
2003_12_01,1070236800000,0.03215256705880165
2004_01_01,1072915200000,3.0184011459350586
2004_02_01,1075593600000,1.0848592519760132
2004_03_01,1078099200000,0.009387923404574394
2004_04_01,1080777600000,-0.390834778547287
2004_05_01,1083369600000,0.034894879907369614
2004_06_01,1086048000000,-0.6070282459259033
2004_07_01,1088640000000,1.5981357097625732
2004_08_01,1091318400000,0.2818604111671448
2004_09_01,1093996800000,1.3990980386734009
2004_10_01,1096588800000,-0.10785466432571411
2004_11_01,1099267200000,1.3613024950027466
2004_12_01,1101859200000,-0.5252439379692078
2005_01_01,1104537600000,-0.3208150565624237
2005_02_01,1107216000000,0.1966809332370758
2005_03_01,1109635200000,0.314230740070343
2005_04_01,1112313600000,-0.039255011826753616
2005_05_01,1114905600000,0.0348949208855629
2005_06_01,1117584000000,-1.2506144046783447
2005_07_01,1120176000000,-0.9343477487564087
2005_08_01,1122854400000,1.0922422409057617
2005_09_01,1125532800000,-0.06988584995269775
2005_10_01,1128124800000,1.1007568836212158
2005_11_01,1130803200000,-2.6841208934783936
2005_12_01,1133395200000,-1.6370235681533813
2006_01_01,1136073600000,0.8134141564369202
2006_02_01,1138752000000,1.4944275617599487
2006_03_01,1141171200000,0.2615436017513275
2006_04_01,1143849600000,1.9771106243133545
2006_05_01,1146441600000,2.645003080368042
2006_06_01,1149120000000,-0.9366064667701721
2006_07_01,1151712000000,-0.6557171940803528
2006_08_01,1154390400000,-1.057088851928711
2006_09_01,1157068800000,1.4503618478775024
2006_10_01,1159660800000,0.665922224521637
2006_11_01,1162339200000,1.8011643886566162
2006_12_01,1164931200000,0.5618611574172974
2007_01_01,1167609600000,1.198366403579712
2007_02_01,1170288000000,1.6669814586639404
2007_03_01,1172707200000,1.056572675704956
2007_04_01,1175385600000,3.0219671726226807
2007_05_01,1177977600000,1.1235836744308472
2007_06_01,1180656000000,-2.922316789627075
2007_07_01,1183248000000,-0.6557168364524841
2007_08_01,1185926400000,-2.0955097675323486
2007_09_01,1188604800000,-2.541043758392334
2007_10_01,1191196800000,1.8729872703552246
2007_11_01,1193875200000,0.3758987486362457
2007_12_01,1196467200000,1.4935872554779053
2008_01_01,1199145600000,2.139374017715454
2008_02_01,1201824000000,0.429830402135849
2008_03_01,1204329600000,0.5266960263252258
2008_04_01,1207008000000,1.6350374221801758
2008_05_01,1209600000000,1.373741865158081
2008_06_01,1212278400000,-1.878936767578125
2008_07_01,1214870400000,0.9749152660369873
2008_08_01,1217548800000,0.5355610251426697
2008_09_01,1220227200000,1.9993699789047241
2008_10_01,1222819200000,-0.17909838259220123
2008_11_01,1225497600000,-0.055058252066373825
2008_12_01,1228089600000,0.9176199436187744
2009_01_01,1230768000000,-0.16525278985500336
2009_02_01,1233446400000,2.535606622695923
2009_03_01,1235865600000,2.617332696914673
2009_04_01,1238544000000,3.4865946769714355
2009_05_01,1241136000000,0.47736865282058716
2009_06_01,1243814400000,0.42405256628990173
2009_07_01,1246406400000,1.763345718383789
2009_08_01,1249084800000,-0.8335204124450684
2009_09_01,1251763200000,0.8596179485321045
2009_10_01,1254355200000,1.4710758924484253
2009_11_01,1257033600000,1.2553001642227173
2009_12_01,1259625600000,1.9012802839279175
2010_01_01,1262304000000,1.0924090147018433
2010_02_01,1264982400000,1.784887433052063
2010_03_01,1267401600000,1.722016453742981
2010_04_01,1270080000000,-1.929286003112793
2010_05_01,1272672000000,0.3495253026485443
2010_06_01,1275350400000,-1.518418312072754
